ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,source_file
2021,03/05/2021,12:00 AM,4,สงขลา,6.719202252,100.4469734,1,0,0,1,1,accident2021-4_songkhla.csv
2021,16/05/2021,12:00 AM,4,สงขลา,6.894974769,100.4698339,1,0,1,0,1,accident2021-4_songkhla.csv
2021,17/05/2021,10:30 AM,4,สงขลา,6.795686837,100.4532069,2,1,1,0,1,accident2021-4_songkhla.csv
2021,19/05/2021,11:30 AM,4,สงขลา,6.937764204,100.4701102,2,0,1,1,1,accident2021-4_songkhla.csv
2021,21/05/2021,01:00 AM,4,สงขลา,6.980839946,100.4605991,1,0,0,1,1,accident2021-4_songkhla.csv
2021,05/06/2021,11:30 AM,4,สงขลา,6.815424629,100.4571444,2,0,1,1,1,accident2021-4_songkhla.csv
2021,08/06/2021,03:00 PM,4,สงขลา,6.672098908,100.4358369,1,0,1,0,1,accident2021-4_songkhla.csv
2021,14/06/2021,05:30 PM,4,สงขลา,6.763062174,100.4592419,1,0,1,0,1,accident2021-4_songkhla.csv
2021,22/06/2021,07:30 PM,4,สงขลา,6.87199948,100.4702577,2,0,2,0,1,accident2021-4_songkhla.csv
2021,22/06/2021,11:00 PM,4,สงขลา,6.983427719,100.4529038,1,0,0,1,1,accident2021-4_songkhla.csv
2021,29/06/2021,02:30 AM,4,สงขลา,6.726090755,100.4486793,2,1,0,1,1,accident2021-4_songkhla.csv
2021,04/07/2021,11:00 AM,4,สงขลา,7.004339701,100.415082,1,0,0,1,1,accident2021-4_songkhla.csv
2021,09/07/2021,02:30 PM,4,สงขลา,6.807722432,100.4548484,2,0,1,1,1,accident2021-4_songkhla.csv
2021,14/07/2021,06:00 AM,4,สงขลา,6.666333885,100.4338172,1,0,0,1,1,accident2021-4_songkhla.csv
2021,20/08/2021,11:00 PM,4,สงขลา,7.004334377,100.4151007,1,0,1,0,1,accident2021-4_songkhla.csv
2021,17/09/2021,02:30 PM,4,สงขลา,6.575096861,100.4104069,1,0,1,0,1,accident2021-4_songkhla.csv
2021,17/09/2021,07:00 PM,4,สงขลา,6.807767708,100.4549637,3,0,2,1,1,accident2021-4_songkhla.csv
2021,20/10/2021,01:30 PM,4,สงขลา,6.797945365,100.453223,2,0,2,0,1,accident2021-4_songkhla.csv
2021,14/11/2021,09:00 PM,4,สงขลา,7.004334377,100.4151007,1,0,1,0,1,accident2021-4_songkhla.csv
2021,16/11/2021,08:00 AM,4,สงขลา,6.809759851,100.4554921,2,0,2,0,1,accident2021-4_songkhla.csv
2021,27/11/2021,12:00 AM,4,สงขลา,6.874534592,100.4702282,1,0,1,0,1,accident2021-4_songkhla.csv
2021,06/12/2021,01:30 AM,4,สงขลา,6.894037458,100.4698634,1,0,1,0,1,accident2021-4_songkhla.csv
2021,08/12/2021,03:00 PM,4,สงขลา,6.624825848,100.4216158,1,0,0,1,1,accident2021-4_songkhla.csv
2021,08/12/2021,03:30 PM,4,สงขลา,6.656687175,100.4305798,2,0,1,1,1,accident2021-4_songkhla.csv
2021,17/12/2021,11:00 PM,4,สงขลา,6.71268126,100.4454231,1,0,0,1,1,accident2021-4_songkhla.csv
2021,18/12/2021,09:30 PM,4,สงขลา,6.979905468,100.4633832,2,0,2,0,1,accident2021-4_songkhla.csv
2021,27/12/2021,08:30 AM,4,สงขลา,6.793052761,100.4531345,2,0,1,1,1,accident2021-4_songkhla.csv
2021,29/12/2021,12:30 AM,4,สงขลา,6.836623673,100.4658455,1,0,1,0,1,accident2021-4_songkhla.csv
2021,29/12/2021,07:00 PM,4,สงขลา,7.190660869,100.2221668,1,0,0,1,1,accident2021-4_songkhla.csv
2021,29/12/2021,11:30 PM,4,สงขลา,7.004203929,100.415031,1,0,0,1,1,accident2021-4_songkhla.csv
2021,30/12/2021,05:30 AM,4,สงขลา,6.788695453,100.453113,2,1,1,0,1,accident2021-4_songkhla.csv
2022,01/03/2022,01:00 PM,4,สงขลา,6.624175758,100.4215085,1,1,0,0,1,accident2022-4_songkhla.csv
2022,01/06/2022,10:00 AM,4,สงขลา,6.670559089,100.4353434,2,0,0,2,1,accident2022-4_songkhla.csv
2022,01/11/2022,11:30 AM,4,สงขลา,6.792738483,100.4531801,2,1,1,0,1,accident2022-4_songkhla.csv
2022,01/12/2022,11:00 AM,4,สงขลา,6.67706466,100.4373792,1,0,1,0,1,accident2022-4_songkhla.csv
2022,26/01/2022,06:30 PM,4,สงขลา,6.575984161,100.4105705,1,0,1,0,1,accident2022-4_songkhla.csv
2022,02/03/2022,01:00 PM,4,สงขลา,6.734633321,100.4502243,1,0,1,0,1,accident2022-4_songkhla.csv
2022,02/07/2022,01:30 AM,4,สงขลา,6.957983324,100.4742032,1,0,1,0,1,accident2022-4_songkhla.csv
2022,02/10/2022,06:30 PM,4,สงขลา,6.807703789,100.4548645,2,1,1,0,1,accident2022-4_songkhla.csv
2022,02/12/2022,07:30 PM,4,สงขลา,6.927851353,100.4682782,1,0,1,0,1,accident2022-4_songkhla.csv
2022,15/02/2022,08:30 PM,4,สงขลา,6.836847376,100.4659581,1,0,1,0,1,accident2022-4_songkhla.csv
2022,20/02/2022,10:00 PM,4,สงขลา,6.868665467,100.4703113,2,0,2,0,1,accident2022-4_songkhla.csv
2022,25/02/2022,03:00 PM,4,สงขลา,6.760736894,100.4592928,1,0,0,1,1,accident2022-4_songkhla.csv
2022,26/02/2022,01:00 AM,4,สงขลา,6.849864609,100.4703784,1,0,1,0,1,accident2022-4_songkhla.csv
2022,03/03/2022,06:00 PM,4,สงขลา,6.609527202,100.4191026,2,0,2,0,1,accident2022-4_songkhla.csv
2022,03/06/2022,06:00 PM,4,สงขลา,6.666701527,100.4340693,1,0,0,1,1,accident2022-4_songkhla.csv
2022,03/08/2022,11:00 AM,4,สงขลา,6.98118871,100.4595718,1,0,1,0,1,accident2022-4_songkhla.csv
2022,03/12/2022,12:30 AM,4,สงขลา,6.984447383,100.449889,2,0,2,0,1,accident2022-4_songkhla.csv
2022,26/03/2022,02:30 AM,4,สงขลา,6.747224475,100.4515681,1,0,1,0,1,accident2022-4_songkhla.csv
2022,04/03/2022,03:30 PM,4,สงขลา,6.796581726,100.4532578,2,0,2,0,1,accident2022-4_songkhla.csv
2022,17/04/2022,05:00 AM,4,สงขลา,6.720699298,100.4471853,1,0,1,0,1,accident2022-4_songkhla.csv
2022,21/04/2022,02:30 PM,4,สงขลา,6.642303343,100.4256096,1,0,1,0,1,accident2022-4_songkhla.csv
2022,24/04/2022,12:30 PM,4,สงขลา,6.732819337,100.4498997,2,0,0,2,1,accident2022-4_songkhla.csv
2022,05/08/2022,04:00 PM,4,สงขลา,6.844868675,100.4698688,1,0,1,0,1,accident2022-4_songkhla.csv
2022,05/09/2022,07:30 AM,4,สงขลา,6.866806718,100.4703033,1,0,0,1,1,accident2022-4_songkhla.csv
2022,05/09/2022,07:30 AM,4,สงขลา,6.866851989,100.4703194,1,1,0,0,1,accident2022-4_songkhla.csv
2022,05/12/2022,12:00 AM,4,สงขลา,6.861800311,100.4704696,1,1,0,0,1,accident2022-4_songkhla.csv
2022,05/12/2022,05:30 PM,4,สงขลา,6.818170437,100.4581851,2,0,2,0,1,accident2022-4_songkhla.csv
2022,20/05/2022,07:30 PM,4,สงขลา,6.794333845,100.4531881,2,0,2,0,1,accident2022-4_songkhla.csv
2022,25/05/2022,04:30 PM,4,สงขลา,6.73163132,100.4497924,1,0,1,0,1,accident2022-4_songkhla.csv
2022,31/05/2022,10:30 AM,4,สงขลา,6.579248239,100.411402,1,0,0,1,1,accident2022-4_songkhla.csv
2022,06/12/2022,06:00 AM,4,สงขลา,6.797583149,100.453231,1,0,1,0,1,accident2022-4_songkhla.csv
2022,22/06/2022,05:00 AM,4,สงขลา,6.80088037,100.4533517,1,0,1,0,1,accident2022-4_songkhla.csv
2022,29/06/2022,07:30 PM,4,สงขลา,6.99579665,100.4175845,1,0,1,0,1,accident2022-4_songkhla.csv
2022,30/06/2022,02:30 PM,4,สงขลา,6.979543391,100.4644561,1,0,1,0,1,accident2022-4_songkhla.csv
2022,07/01/2022,06:00 AM,4,สงขลา,6.813672203,100.4566911,1,0,1,0,1,accident2022-4_songkhla.csv
2022,07/12/2022,06:30 PM,4,สงขลา,6.581401186,100.4119143,2,0,1,1,1,accident2022-4_songkhla.csv
2022,08/02/2022,11:30 AM,4,สงขลา,6.617248521,100.4204061,2,0,2,0,1,accident2022-4_songkhla.csv
2022,08/06/2022,05:00 AM,4,สงขลา,6.833395939,100.4643139,1,0,1,0,1,accident2022-4_songkhla.csv
2022,08/09/2022,02:30 AM,4,สงขลา,6.849837978,100.4703596,1,0,1,0,1,accident2022-4_songkhla.csv
2022,09/01/2022,04:00 AM,4,สงขลา,6.542262982,100.4157364,1,0,1,0,1,accident2022-4_songkhla.csv
2022,09/09/2022,04:00 PM,4,สงขลา,6.810260549,100.4556423,2,0,2,0,1,accident2022-4_songkhla.csv
2022,09/11/2022,09:00 PM,4,สงขลา,6.75539643,100.4556611,2,1,1,0,1,accident2022-4_songkhla.csv
2022,24/09/2022,12:30 AM,4,สงขลา,6.545711147,100.4151973,2,0,1,1,1,accident2022-4_songkhla.csv
2022,25/09/2022,11:00 AM,4,สงขลา,6.751105372,100.4523593,1,0,0,1,1,accident2022-4_songkhla.csv
2022,27/09/2022,12:00 PM,4,สงขลา,6.75956759,100.4586276,1,0,1,0,1,accident2022-4_songkhla.csv
2022,27/09/2022,03:00 PM,4,สงขลา,6.834549084,100.4648611,3,1,1,1,1,accident2022-4_songkhla.csv
2022,10/05/2022,07:00 PM,4,สงขลา,6.807661176,100.4548994,2,0,1,1,1,accident2022-4_songkhla.csv
