ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,วันเวลาเกิด,Unnamed: 39
2020,1/21/2020,9:30:00,3/30/2020,12:07 PM,3795573,กรมทางหลวง,ทางหลวง,406,ปากจ่า - ค่ายรวมมิตร,34.7,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,ฝนตก,7.083245679,100.189197,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-01-21 09:30:00,
2020,1/22/2020,8:25:00,3/27/2020,9:38 AM,3795182,กรมทางหลวง,ทางหลวง,408,สทิงพระ - เกาะยอ,130.0,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.422362829,100.4574528,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2020-01-22 08:25:00,
2020,1/23/2020,13:30:00,2/12/2020,8:33 AM,3789808,กรมทางหลวง,ทางหลวง,408,สทิงพระ - เกาะยอ,152.326,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.24545787,100.5408963,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-23 13:30:00,
2020,1/23/2020,14:20:00,3/30/2020,4:01 PM,3795564,กรมทางหลวง,ทางหลวง,4,พังลา - จุดผ่านแดนถาวรสะเดา (เขตแดนไทย/มาเลเซีย),1279.2,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.79190218,100.453172,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2020-01-23 14:20:00,
2020,1/24/2020,5:40:00,2/14/2020,4:10 PM,3789989,กรมทางหลวง,ทางหลวง,408,ทุ่งหวัง - นาทวี,189.35,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,6.992420918,100.6770077,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2020-01-24 05:40:00,
2020,1/24/2020,15:15:00,3/30/2020,3:55 PM,3795589,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,58.1,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.897834619,100.9187955,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2020-01-24 15:15:00,
2020,1/25/2020,1:50:00,3/24/2020,2:40 PM,3794529,กรมทางหลวง,ทางหลวง,4,พังลา - จุดผ่านแดนถาวรสะเดา (เขตแดนไทย/มาเลเซีย),1284.65,สงขลา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.746294867,100.4514688,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2020-01-25 01:50:00,
2020,1/25/2020,16:40:00,10/1/2020,2:10 PM,3805716,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,45.1,สงขลา,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.944500458,100.8240974,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-25 16:40:00,
2020,1/27/2020,20:20:00,1/28/2020,4:07 PM,3788427,กรมทางหลวง,ทางหลวง,4,คลองหวะ - พังลา,1266.65,สงขลา,รถตู้,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.904145401,100.4695093,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-27 20:20:00,
2020,2/1/2020,10:00:00,6/9/2020,9:09 AM,3799819,กรมทางหลวง,ทางหลวง,414,คลองวง - ท่าท้อน,8.9,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.102148958,100.5110353,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2020-02-01 10:00:00,
