datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2024-02-25,0,83.54875,74.47791666666667,29.760416666666668,91.0,589.0,90.0,6,1,0
2024-02-26,0,84.18583333333333,73.22125,29.75125,98.0,573.0,96.0,0,0,1
2024-02-27,0,83.53458333333333,73.71645833333334,29.74291666666667,110.0,450.0,111.0,1,0,0
2024-02-28,0,84.400625,71.36333333333333,29.719166666666666,102.0,360.0,105.0,2,0,0
2024-02-29,0,82.71,72.80645833333334,29.738958333333333,83.0,355.0,98.0,3,0,0
2024-03-01,1,81.48104166666667,82.776875,29.749166666666667,69.0,426.0,100.0,4,0,0
2024-03-02,0,81.22916666666667,81.37395833333333,29.82020833333333,78.0,505.0,97.0,5,1,0
2024-03-03,0,83.46395833333334,77.34645833333333,29.74,91.0,467.0,91.0,6,1,0
2024-03-04,0,86.79208333333332,72.69458333333334,29.690625,86.0,397.0,105.0,0,0,0
2024-03-05,0,86.41458333333333,79.03604166666666,29.651041666666668,81.0,333.0,103.0,1,0,0
2024-03-06,0,83.75916666666667,83.44687499999999,29.74083333333333,75.0,354.0,101.0,2,0,0
2024-03-07,0,83.61562500000001,74.89145833333333,29.6775,79.0,422.0,103.0,3,0,0
2024-03-08,1,81.10416666666667,85.236875,29.719791666666666,100.0,438.0,101.0,4,0,0
2024-03-09,0,82.920625,76.31270833333333,29.710624999999997,101.0,453.0,107.0,5,1,0
2024-03-10,0,80.68333333333334,88.97375,29.7175,81.0,426.0,109.0,6,1,0
2024-03-11,0,80.73041666666667,85.67666666666666,29.70375,77.0,375.0,105.0,0,0,0
2024-03-12,0,80.43604166666667,88.123125,29.675208333333334,75.0,380.0,100.0,1,0,0
2024-03-13,1,83.43124999999999,72.40666666666667,29.790208333333336,79.0,333.0,106.0,2,0,0
2024-03-14,1,84.54729166666667,73.64687500000001,29.769583333333333,80.0,336.0,104.0,3,0,0
2024-03-15,1,84.44729166666666,73.14395833333333,29.762916666666666,77.0,383.0,98.0,4,0,0
2024-03-16,0,83.67979166666667,72.50020833333333,29.785833333333333,89.0,520.0,96.0,5,1,0
2024-03-17,0,84.41791666666667,73.62270833333334,29.770416666666666,82.0,457.0,96.0,6,1,0
2024-03-18,0,83.12333333333333,73.86354166666666,29.74354166666667,83.0,377.0,103.0,0,0,0
2024-03-19,0,82.718125,73.41270833333333,29.753958333333333,88.0,384.0,100.0,1,0,0
2024-03-20,0,82.87875,71.88958333333333,29.786041666666666,85.0,401.0,103.0,2,0,0
2024-03-21,1,83.69687499999999,71.535625,29.754375,84.0,374.0,103.0,3,0,0
2024-03-22,1,82.79333333333334,75.08729166666667,29.687708333333333,87.0,397.0,102.0,4,0,0
2024-03-23,0,84.96020833333334,74.14791666666666,29.698125,87.0,496.0,106.0,5,1,0
2024-03-24,0,85.23354166666667,74.95458333333333,29.738958333333333,83.0,511.0,103.0,6,1,0
2024-03-25,0,83.72583333333334,73.74625,29.740416666666665,80.0,386.0,101.0,0,0,0
2024-03-26,0,82.425625,79.455625,29.760625,76.0,350.0,102.0,1,0,0
2024-03-27,0,85.08541666666666,76.00958333333334,29.802291666666665,83.0,371.0,102.0,2,0,0
2024-03-28,0,85.86520833333333,76.42104166666667,29.750833333333333,83.0,376.0,101.0,3,0,0
2024-03-29,0,86.02125000000001,76.588125,29.730833333333333,77.0,371.0,107.0,4,0,0
2024-03-30,0,83.67812500000001,82.810625,29.78375,86.0,375.0,97.0,5,1,0
2024-03-31,0,83.826875,81.17645833333333,29.780833333333334,97.0,411.0,92.0,6,1,0
2024-04-01,0,81.97354166666666,80.95708333333333,29.753958333333333,94.0,405.0,104.0,0,0,0
2024-04-02,0,81.71020833333334,81.18395833333334,29.831666666666667,94.0,342.0,105.0,1,0,0
2024-04-03,1,83.534375,76.56270833333333,29.73375,82.0,292.0,106.0,2,0,0
2024-04-04,0,86.565625,72.69333333333334,29.686041666666668,76.0,333.0,105.0,3,0,0
2024-04-05,0,84.11916666666666,83.14999999999999,29.659583333333334,79.0,377.0,96.0,4,0,0
2024-04-06,0,85.93541666666665,75.79625,29.7175,89.0,447.0,96.0,5,1,1
2024-04-07,0,81.95041666666667,79.749375,29.71666666666667,100.0,474.0,104.0,6,1,0
2024-04-08,0,80.46770833333333,82.33312500000001,29.733333333333334,86.0,492.0,96.0,0,0,1
2024-04-09,0,83.62,75.59458333333333,29.687708333333333,75.0,509.0,99.0,1,0,0
2024-04-10,0,80.98479166666667,85.54583333333333,29.713541666666668,79.0,500.0,106.0,2,0,0
2024-04-11,0,79.52083333333333,91.041875,29.7,91.0,523.0,99.0,3,0,0
2024-04-12,0,78.745,89.68374999999999,29.678749999999997,96.0,558.0,86.0,4,0,1
2024-04-13,2,85.79229166666666,72.291875,29.70104166666667,88.0,506.0,89.0,5,1,1
2024-04-14,0,85.48291666666667,74.25020833333333,29.722083333333334,94.0,505.0,95.0,6,1,1
2024-04-15,0,86.585,73.22916666666667,29.723958333333332,103.0,547.0,96.0,0,0,1
2024-04-16,2,86.28395833333333,72.07375,29.698958333333334,93.0,570.0,93.0,1,0,1
2024-04-17,1,86.04354166666667,73.655,29.68875,90.0,467.0,98.0,2,0,0
2024-04-18,0,86.91854166666667,71.92104166666667,29.664583333333336,85.0,387.0,103.0,3,0,0
2024-04-19,0,84.86770833333334,78.72395833333333,29.637291666666666,78.0,378.0,103.0,4,0,0
2024-04-20,1,83.83,84.61729166666667,29.637708333333332,85.0,431.0,100.0,5,1,0
2024-04-21,0,84.66541666666667,82.74708333333334,29.6525,99.0,426.0,88.0,6,1,0
2024-04-22,0,86.47520833333334,79.58541666666666,29.640833333333333,83.0,360.0,87.0,0,0,0
2024-04-23,0,86.72020833333333,75.54020833333333,29.62875,73.0,365.0,91.0,1,0,0
2024-04-24,0,86.79354166666667,73.82729166666667,29.626458333333332,79.0,430.0,102.0,2,0,0
2024-04-25,0,86.18708333333332,78.49062500000001,29.627916666666668,84.0,447.0,107.0,3,0,0
2024-04-26,0,84.64770833333334,82.73729166666666,29.632499999999997,87.0,420.0,110.0,4,0,0
2024-04-27,0,87.57583333333334,71.23708333333333,29.622291666666666,91.0,479.0,102.0,5,1,0
2024-04-28,0,83.66333333333334,82.969375,29.657916666666665,88.0,503.0,100.0,6,1,0
2024-04-29,0,86.36729166666667,78.50770833333333,29.665000000000003,86.0,525.0,104.0,0,0,0
2024-04-30,0,87.16416666666667,76.02291666666666,29.62125,89.0,447.0,109.0,1,0,0
2024-05-01,0,80.64729166666667,81.84979166666666,29.766041666666666,88.0,432.0,97.0,2,0,1
2024-05-02,0,81.17645833333333,80.53395833333333,29.831458333333334,91.0,422.0,104.0,3,0,0
2024-05-03,0,83.91083333333334,78.51354166666667,29.720208333333332,95.0,391.0,98.0,4,0,0
2024-05-04,0,85.76291666666667,69.56104166666667,29.664583333333336,94.0,494.0,90.0,5,1,1
2024-05-05,0,83.54729166666667,84.925625,29.64375,80.0,496.0,91.0,6,1,0
2024-05-06,0,86.87958333333334,69.95479166666667,29.726874999999996,82.0,449.0,87.0,0,0,1
2024-05-07,0,79.75729166666666,83.43041666666666,29.68958333333333,83.0,389.0,95.0,1,0,0
2024-05-08,0,81.030625,82.38458333333334,29.71166666666667,80.0,334.0,96.0,2,0,0
2024-05-09,0,83.626875,76.36125,29.64270833333333,81.0,354.0,100.0,3,0,0
2024-05-10,0,78.52229166666667,92.78354166666666,29.70958333333333,89.0,444.0,100.0,4,0,0
2024-05-11,0,79.188125,88.77895833333334,29.717083333333335,90.0,558.0,98.0,5,1,0
2024-05-12,0,78.32020833333333,91.09583333333335,29.675416666666667,89.0,477.0,106.0,6,1,0
2024-05-13,0,84.64729166666667,81.09145833333334,29.679583333333337,98.0,399.0,102.0,0,0,0
2024-05-14,2,86.496875,78.81145833333333,29.674166666666668,91.0,395.0,100.0,1,0,0
2024-05-15,0,87.40854166666666,76.32770833333333,29.68166666666667,81.0,454.0,102.0,2,0,0
2024-05-16,0,81.55479166666667,91.22166666666668,29.689166666666665,76.0,444.0,100.0,3,0,0
2024-05-17,0,82.80145833333333,87.710625,29.675833333333333,89.0,488.0,103.0,4,0,0
2024-05-18,0,84.51354166666667,84.863125,29.635833333333334,90.0,567.0,106.0,5,1,0
2024-05-19,0,84.72541666666667,83.28416666666666,29.605833333333333,89.0,507.0,99.0,6,1,0
2024-05-20,0,84.20416666666667,85.61166666666666,29.615416666666665,85.0,414.0,98.0,0,0,0
2024-05-21,0,83.57166666666667,85.57229166666667,29.639583333333334,95.0,459.0,92.0,1,0,0
2024-05-22,0,84.30916666666667,83.8125,29.64833333333333,104.0,505.0,89.0,2,0,1
2024-05-23,0,83.96020833333334,79.91354166666666,29.648750000000003,90.0,470.0,101.0,3,0,0
2024-05-24,0,86.25,76.48291666666667,29.642916666666665,79.0,494.0,100.0,4,0,0
2024-05-25,0,84.72729166666666,79.54333333333334,29.659166666666668,77.0,506.0,95.0,5,1,0
2024-05-26,1,86.15875,77.104375,29.673333333333332,77.0,431.0,93.0,6,1,0
2024-05-27,0,85.41333333333334,80.06854166666666,29.660833333333333,75.0,404.0,103.0,0,0,0
2024-05-28,0,86.29729166666665,77.16333333333334,29.66208333333333,83.0,366.0,102.0,1,0,0
2024-05-29,0,85.31145833333333,83.659375,29.650833333333335,88.0,346.0,102.0,2,0,0
2024-05-30,0,85.01479166666667,84.831875,29.650000000000002,86.0,371.0,105.0,3,0,0
2024-05-31,0,81.98958333333333,90.29,29.67958333333333,94.0,397.0,100.0,4,0,0
2024-06-01,0,80.903125,83.16666666666667,29.77145833333333,91.0,503.0,97.0,5,1,0
2024-06-02,1,80.86541666666666,81.74854166666667,29.8275,92.0,498.0,96.0,6,1,0
2024-06-03,0,84.22229166666666,76.300625,29.687083333333334,95.0,505.0,92.0,0,0,1
2024-06-04,0,84.66416666666667,70.83166666666666,29.673125,79.0,411.0,100.0,1,0,0
2024-06-05,0,82.8275,84.74458333333334,29.66625,83.0,340.0,102.0,2,0,0
2024-06-06,0,86.65291666666667,69.714375,29.73229166666667,88.0,334.0,95.0,3,0,0
2024-06-07,1,81.45229166666667,81.995,29.630208333333332,86.0,388.0,88.0,4,0,0
2024-06-08,0,82.79916666666666,77.70291666666667,29.695625000000003,90.0,484.0,88.0,5,1,0
2024-06-09,0,82.85583333333334,82.41291666666667,29.64708333333333,91.0,487.0,95.0,6,1,0
2024-06-10,0,80.26,86.62541666666668,29.718958333333333,85.0,353.0,102.0,0,0,0
2024-06-11,0,78.49270833333334,90.486875,29.742708333333336,85.0,313.0,97.0,1,0,0
2024-06-12,0,81.153125,83.791875,29.659166666666668,80.0,356.0,97.0,2,0,0
2024-06-13,1,85.08166666666666,70.703125,29.723125,76.0,399.0,103.0,3,0,0
2024-06-14,1,85.94729166666667,70.62104166666667,29.665000000000003,84.0,440.0,103.0,4,0,0
2024-06-15,0,85.06395833333333,75.05145833333333,29.640208333333334,98.0,476.0,102.0,5,1,0
2024-06-16,1,80.53604166666666,88.50458333333334,29.676458333333333,91.0,486.0,105.0,6,1,0
2024-06-17,0,80.84833333333333,81.25604166666666,29.702083333333334,76.0,419.0,103.0,0,0,0
2024-06-18,0,82.77833333333334,76.82041666666667,29.674583333333334,81.0,401.0,99.0,1,0,0
2024-06-19,0,81.74791666666667,82.32458333333334,29.660833333333333,88.0,354.0,99.0,2,0,0
2024-06-20,0,83.43604166666667,75.60458333333334,29.6525,91.0,319.0,102.0,3,0,0
2024-06-21,0,80.0575,82.95541666666666,29.659166666666668,89.0,320.0,102.0,4,0,0
2024-06-22,0,80.016875,83.79583333333333,29.646041666666665,83.0,383.0,98.0,5,1,0
