datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-08-26,2,81.4375,79.10416666666667,29.72875,85,403,92,5,1,0
2023-08-27,1,82.77083333333333,76.875,29.695000000000004,89,413,92,6,1,0
2023-08-28,0,83.875,74.54166666666667,29.67125,93,407,92,0,0,0
2023-08-29,0,81.97826086956522,80.17391304347827,29.660217391304347,90,404,88,1,0,0
2023-08-30,0,82.72916666666667,80.02083333333333,29.678125,91,401,96,2,0,0
2023-08-31,0,83.33333333333333,77.27083333333333,29.698125,87,410,95,3,0,0
2023-09-01,0,79.97916666666667,86.625,29.715625000000003,79,416,94,4,0,0
2023-09-02,0,80.125,86.10416666666667,29.68125,77,422,94,5,1,0
2023-09-03,0,80.8125,85.41666666666667,29.648750000000003,87,416,92,6,1,0
2023-09-04,1,79.0,90.10416666666669,29.639375,82,429,94,0,0,0
2023-09-05,0,78.41666666666667,88.04166666666667,29.694375,83,416,90,1,0,0
2023-09-06,0,81.75,78.9375,29.71875,92,411,92,2,0,0
2023-09-07,0,83.0,80.27083333333333,29.719375,90,403,93,3,0,0
2023-09-08,0,77.83333333333333,93.16666666666669,29.755,13,73,26,4,0,0
2023-09-09,0,82.3125,78.875,29.69375,94,402,96,5,1,0
2023-09-10,2,77.20833333333333,88.29166666666667,29.7175,77,428,94,6,1,0
2023-09-11,0,82.04166666666667,77.02083333333333,29.7125,94,404,91,0,0,0
2023-09-12,1,82.85416666666667,78.77083333333333,29.728125,91,411,98,1,0,0
2023-09-13,0,83.2127659574468,75.8936170212766,29.72553191489362,91,402,88,2,0,0
2023-09-14,0,82.61702127659575,78.42553191489361,29.72617021276596,90,401,87,3,0,0
2023-09-15,0,83.08333333333333,77.91666666666667,29.720625,87,405,87,4,0,0
2023-09-16,0,83.4375,76.60416666666667,29.704375,91,416,94,5,1,0
2023-09-17,0,82.375,79.5,29.6925,90,403,94,6,1,0
2023-09-18,1,82.1875,78.9375,29.70375,80,415,93,0,0,0
2023-09-19,1,81.85416666666667,81.29166666666667,29.735,86,417,98,1,0,0
2023-09-20,0,83.34042553191489,78.29787234042553,29.71085106382979,89,405,89,2,0,0
2023-09-21,0,78.79166666666667,89.5625,29.724375,78,412,93,3,0,0
2023-09-22,0,80.47916666666667,85.04166666666667,29.70875,86,421,91,4,0,0
2023-09-23,0,79.5625,89.39583333333333,29.711875000000003,86,412,96,5,1,0
2023-09-24,1,78.83333333333333,89.27083333333333,29.695625000000003,81,422,87,6,1,0
2023-09-25,0,78.33333333333333,92.0625,29.67125,68,419,89,0,0,0
2023-09-26,0,77.89583333333333,92.27083333333331,29.684375000000003,71,427,96,1,0,0
2023-09-27,0,78.85416666666667,87.16666666666667,29.683125,85,419,93,2,0,0
2023-09-28,0,82.5625,78.91666666666667,29.696250000000003,90,390,94,3,0,0
2023-09-29,0,82.3125,83.9375,29.758125000000003,89,418,92,4,0,0
2023-09-30,1,84.29166666666667,76.39583333333333,29.75583333333333,92,411,94,5,1,0
2023-10-01,0,84.95833333333333,71.5625,29.733125,87,406,94,6,1,0
2023-10-02,0,82.95833333333333,81.375,29.7525,86,406,94,0,0,0
2023-10-03,0,83.89583333333333,75.75,29.75645833333333,90,410,95,1,0,0
2023-10-04,0,81.95833333333333,84.6875,29.741875000000004,89,415,97,2,0,0
2023-10-05,0,82.68085106382979,79.93617021276596,29.713404255319148,84,401,90,3,0,0
2023-10-06,0,82.72916666666667,80.97916666666667,29.714375,85,407,94,4,0,0
2023-10-07,0,80.46808510638297,88.23404255319149,29.743829787234045,81,394,93,5,1,0
2023-10-08,1,81.58333333333333,83.45833333333333,29.764791666666667,92,399,92,6,1,0
2023-10-09,0,81.5625,82.41666666666667,29.769166666666667,92,404,93,0,0,0
2023-10-10,0,81.70833333333333,82.97916666666667,29.742083333333337,84,429,92,1,0,0
2023-10-11,0,82.10416666666667,84.08333333333333,29.741041666666664,86,419,91,2,0,0
2023-10-12,0,80.6875,87.22916666666667,29.766875,84,408,94,3,0,0
2023-10-13,0,80.91666666666667,87.0625,29.764791666666667,85,405,90,4,0,1
2023-10-14,0,83.97916666666667,79.79166666666667,29.73375,86,413,93,5,1,0
2023-10-15,0,80.875,84.83333333333333,29.714375,83,423,90,6,1,0
