datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2023-06-02,0,80.505625,82.80520833333334,5.736249999999999,29.721666666666668,81.0,471.0,94.0,4,0,0
2023-06-03,0,78.72375000000001,74.98666666666666,9.033958333333333,29.822916666666668,91.0,484.0,82.0,5,1,1
2023-06-04,0,80.18958333333333,83.97333333333333,3.377083333333333,29.691666666666666,88.0,446.0,88.0,6,1,0
2023-06-05,0,84.658125,81.67999999999999,2.974375,29.5925,86.0,462.0,87.0,0,0,1
2023-06-06,2,82.31125,80.439375,6.659166666666667,29.673541666666665,86.0,447.0,94.0,1,0,0
2023-06-07,0,84.47958333333334,71.93625,2.9147916666666664,29.713958333333334,93.0,359.0,97.0,2,0,0
2023-06-08,0,83.03791666666667,79.25020833333333,4.636458333333334,29.761458333333334,81.0,380.0,95.0,3,0,0
2023-06-09,0,81.723125,79.05479166666667,3.906041666666667,29.718541666666667,84.0,385.0,93.0,4,0,0
2023-06-10,0,82.75770833333333,80.87520833333333,2.9427083333333335,29.714583333333334,91.0,402.0,97.0,5,1,0
2023-06-11,0,83.03333333333333,83.12708333333333,3.048958333333333,29.72645833333333,88.0,452.0,98.0,6,1,0
2023-06-12,0,82.37479166666667,85.080625,6.3125,29.752291666666665,86.0,357.0,101.0,0,0,0
2023-06-13,0,84.18791666666667,77.32916666666667,4.613125,29.665625000000002,85.0,332.0,106.0,1,0,0
2023-06-14,0,83.51520833333333,79.79083333333334,2.6689583333333338,29.71375,82.0,320.0,108.0,2,0,0
2023-06-15,0,82.80729166666667,81.79395833333334,3.202916666666667,29.697708333333335,85.0,369.0,99.0,3,0,0
2023-06-16,0,83.97166666666666,80.26520833333333,3.1060416666666666,29.665208333333336,84.0,432.0,97.0,4,0,0
2023-06-17,1,81.38791666666667,83.68770833333333,3.455,29.6925,93.0,482.0,94.0,5,1,0
2023-06-18,0,80.12875,83.1575,1.7102083333333333,29.7375,92.0,465.0,102.0,6,1,0
2023-06-19,0,83.26166666666667,75.16833333333334,3.0241666666666664,29.690833333333334,92.0,379.0,102.0,0,0,0
2023-06-20,0,84.079375,74.15895833333333,2.455,29.687291666666667,94.0,321.0,101.0,1,0,0
2023-06-21,0,85.19333333333334,68.25020833333333,2.669791666666667,29.706666666666667,89.0,336.0,99.0,2,0,0
2023-06-22,0,81.75375,78.45291666666667,2.8070833333333334,29.706875,87.0,383.0,99.0,3,0,0
2023-06-23,0,82.64166666666667,79.19250000000001,2.6060416666666666,29.673125,79.0,404.0,99.0,4,0,0
2023-06-24,0,82.7725,79.91291666666667,2.3125,29.665208333333336,81.0,462.0,94.0,5,1,0
2023-06-25,1,80.52187500000001,87.10479166666666,1.5870833333333334,29.67,88.0,438.0,93.0,6,1,0
2023-06-26,0,81.41479166666666,84.568125,2.955208333333333,29.685208333333335,81.0,363.0,101.0,0,0,0
2023-06-27,0,80.63604166666667,84.78937499999999,3.1152083333333334,29.696875000000002,83.0,340.0,106.0,1,0,0
2023-06-28,0,81.53083333333333,81.13625,4.613958333333334,29.712083333333336,82.0,403.0,100.0,2,0,0
2023-06-29,0,82.68041666666666,76.44895833333334,6.76125,29.691041666666667,77.0,382.0,95.0,3,0,0
2023-06-30,0,81.674375,82.54958333333333,5.478958333333334,29.684375,81.0,382.0,97.0,4,0,0
2023-07-01,0,73.18208333333334,98.534375,2.6241666666666665,29.77145833333333,94.0,453.0,102.0,5,1,0
2023-07-02,0,80.41083333333333,81.63604166666667,6.00125,29.719375,86.0,469.0,100.0,6,1,0
2023-07-03,0,79.23833333333333,77.04041666666667,7.4191666666666665,29.817083333333333,87.0,391.0,95.0,0,0,0
