datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,year
2021-05-25,0,82.438125,83.50937499999999,4.914375,29.68625,89.0,387.0,98.0,1,0,0,2021
2021-05-26,0,82.12375,88.291875,3.062291666666667,29.677083333333332,87.0,429.0,90.0,2,0,1,2021
2021-05-27,0,80.52125,88.59458333333333,6.54375,29.698333333333334,90.0,389.0,99.0,3,0,0,2021
2021-05-28,0,81.78937499999999,84.89666666666666,4.982916666666667,29.714375,95.0,363.0,100.0,4,0,0,2021
2021-05-29,0,84.43229166666667,78.66458333333334,3.2695833333333333,29.698541666666667,102.0,479.0,100.0,5,1,0,2021
2021-05-30,0,81.86145833333333,91.61291666666666,2.8339583333333334,29.668125,94.0,495.0,102.0,6,1,0,2021
2021-05-31,0,83.641875,85.499375,3.4658333333333338,29.639791666666667,84.0,412.0,102.0,0,0,0,2021
2021-06-01,0,79.165,91.54166666666667,4.683333333333334,29.683333333333334,84.0,423.0,102.0,1,0,0,2021
2021-06-02,0,81.70291666666667,76.52083333333333,6.963333333333334,29.722916666666666,90.0,446.0,93.0,2,0,0,2021
2021-06-03,0,82.506875,80.75333333333333,6.64375,29.7825,103.0,494.0,89.0,3,0,1,2021
2021-06-04,1,82.19270833333333,86.66458333333333,3.9445833333333336,29.713541666666668,84.0,433.0,93.0,4,0,0,2021
2021-06-05,0,78.1875,98.14604166666668,2.8487500000000003,29.721249999999998,82.0,480.0,98.0,5,1,0,2021
2021-06-06,0,79.21020833333334,97.1325,1.3164583333333333,29.717083333333335,85.0,535.0,97.0,6,1,0,2021
2021-06-07,0,78.670625,96.61895833333334,4.859583333333333,29.651875,87.0,401.0,96.0,0,0,0,2021
2021-06-08,0,84.403125,75.940625,4.109375,29.715,90.0,379.0,100.0,1,0,0,2021
2021-06-09,0,82.58104166666666,76.60041666666667,3.2156249999999997,29.719791666666666,87.0,416.0,104.0,2,0,0,2021
2021-06-10,0,79.170625,90.8125,3.8520833333333333,29.639791666666667,95.0,354.0,107.0,3,0,0,2021
2021-06-11,0,79.89375,90.43729166666667,2.097916666666667,29.628958333333333,86.0,404.0,103.0,4,0,0,2021
2021-06-12,1,77.49666666666667,82.980625,4.14625,29.768541666666668,88.0,523.0,93.0,5,1,0,2021
2021-06-13,0,82.62083333333334,85.65291666666667,2.5247916666666668,29.6975,87.0,438.0,92.0,6,1,0,2021
