ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,datetime,date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,year,year_ad,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,vehicles_total
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,8638,24060,3545,36243
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,2931,29162,9363,41456
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,4122,30715,4377,39214
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,9074,26179,2849,38102
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,4603,14861,2479,21943
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,3457,8773,1789,14019
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,39344,155491,30994,225829
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,6519,21741,6592,34852
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,8638,24060,3545,36243
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,2931,29162,9363,41456
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,4122,30715,4377,39214
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,9074,26179,2849,38102
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,4603,14861,2479,21943
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,3457,8773,1789,14019
2020,27/03/2020,09:00 AM,4,สงขลา,7.020999397,100.4074082,2,1,0,1,1,2020-03-27 09:00:00,3/27/2020,9:00 AM,86.0,70.0,6.0,29.76,Partly Cloudy,2020.0,2020,39344,155491,30994,225829
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,6519,21741,6592,34852
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,8638,24060,3545,36243
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,2931,29162,9363,41456
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,4122,30715,4377,39214
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,9074,26179,2849,38102
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,4603,14861,2479,21943
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,3457,8773,1789,14019
2020,04/03/2020,10:30 PM,4,สงขลา,6.849246778,100.470314,1,1,0,0,1,2020-04-03 22:30:00,4/3/2020,10:30 PM,79.0,94.0,0.0,29.73,Fair,2020.0,2020,39344,155491,30994,225829
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,6519,21741,6592,34852
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,8638,24060,3545,36243
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,2931,29162,9363,41456
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,4122,30715,4377,39214
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,9074,26179,2849,38102
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,4603,14861,2479,21943
2020,21/04/2020,09:30 PM,4,สงขลา,6.546670447,100.4148137,3,2,1,0,1,2020-04-21 21:30:00,4/21/2020,9:30 PM,86.0,79.0,2.0,29.7,Partly Cloudy,2020.0,2020,3457,8773,1789,14019
